Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
9/11 Memorial & Museum,"World Trade Center (museum: 180 Greenwich St.) Manhattan, NY 1000, Lower Manhattan",10007,-74.0124786,40.7114147,"180 greenwich st, new york, ny 10007, usa"
Abyssinian Baptist Church,"132 Odell Clark Place New York, NY 10030, Harlem",10030,-73.9415389,40.816662,"132 odell clark pl, new york, ny 10030, usa"
Alice Tully Hall,"1941 Broadway Manhattan, NY 10023, Upper West Side",10023,-73.9826405,40.7737028,"1941 broadway, new york, ny 10023, usa"
Alvin Ailey American Dance Theate,"405 W. 55th St. Manhattan, NY 10019, Midtown West",10019,-73.9868137,40.7669453,"405 w 55th st, new york, ny 10019, usa"
American Girl Place,"609 Fifth Ave. Manhattan, NY 10017, Midtown East",10017,-73.9772867,40.7575084,"609 5th ave, new york, ny 10017, usa"
American Museum of Natural History,"Central Park West at 79th St. Manhattan, NY 10024, Upper West Side",10024,-73.9606298,40.7756535,"park ave & e 79th st, new york, ny 10075, usa"
Apollo Theater,"253 W. 125th St.  Manhattan, NY 10027, Harlem",10027,-73.9500391,40.810033,"253 w 125th st, new york, ny 10027, usa"
arts>Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,-74.0153339,40.7140744,"230 vesey st, new york, ny 10080, usa"
Barclays Center,"620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,-73.9752846,40.682658,"620 atlantic ave, brooklyn, ny 11217, usa"
Bartow-Pell Mansion Museum,"895 Shore Rd. Bronx, NY 10464, Pelham Bay",10464,-73.8055009,40.8719274,"895 shore rd, the bronx, ny 10464, usa"
Bateaux New York,"Pier 61, Chelsea Piers (23rd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,-74.0083691,40.747355,"111c 11th ave, new york, ny 10011, usa"
Bronx Brewery,"856 East 136th Street NY 10454, South Bronx",10454,-73.9105843,40.8019185,"856 e 136th st, the bronx, ny 10454, usa"
Bronx Library Center,"310 E. Kingsbridge Rd. Bronx, NY 10458, Fordham",10458,-73.894508,40.863047,"310 e kingsbridge rd, the bronx, ny 10458, usa"
Bronx Zoo,"2300 Southern Blvd. Bronx, NY 10460, Fordham",10460,-73.8784819,40.8502486,"2300 southern blvd, the bronx, ny 10460, usa"
Brooklyn Botanic Garden,"1000 Washington Ave. Brooklyn, NY 11225, Prospect Heights",11225,-73.9617798,40.6673972,"1000 washington ave, brooklyn, ny 11225, usa"
Brooklyn Bridge,"Tillary St Brooklyn, NY 11201,Downtown Brooklyn",11201,-73.9858665,40.6961605,"tillary st, brooklyn, ny 11201, usa"
Brooklyn Heights Promenade,"Brooklyn-Queens Expressway Brooklyn , NY 11201, Brooklyn Heights",11201,-73.9981755,40.6958087,"brooklyn queens expy, brooklyn, ny, usa"
Brooklyn Historical Society,"128 Pierrepont St. Brooklyn, NY 11201, Brooklyn Heights",11201,-73.992441,40.6947963,"128 pierrepont st, brooklyn, ny 11201, usa"
Brooklyn Navy Yard,"63 Flushing Ave, bldg 292, unit 300 (main office) Brooklyn, NY 11205, Navy Yard",11205,-73.971708,40.7050776,"brooklyn navy yard building 292, railroad ave #300, brooklyn, ny 11205, usa"
Brooklyn Nets,"The Barclays Center, 620 Atlantic Ave. Brooklyn, NY 11217, Prospect Heights",11217,-73.9754156,40.6826465,"620 atlantic ave, brooklyn, ny 11217, usa"
Brooklyn Public Library,"Grand Army Plaza at Flatbush Ave Brooklyn, NY 11238, Park Slope",11238,-73.9706674,40.6743272,"grand army plaza & flatbush ave, brooklyn, ny 11238, usa"
Calvary Cemetery,"49-02 Laurel Hill Blvd. Queens, NY 11377, Woodside",11377,-73.9174048,40.7351324,"49-02 laurel hill blvd, queens, ny 11377, usa"
Carnegie Hall,"57th St. and Seventh Ave. Manhattan, NY 10019, Midtown West",10019,-73.9800175,40.7655327,"7th ave & w 57th st, new york, ny 10019, usa"
Cathedral Church of St. John the Divine,"1047 Amsterdam Ave. Manhattan, NY 10025, Morningside Heights",10025,-73.9618358,40.8038206,"1047 amsterdam ave, new york, ny 10025, usa"
Central Park Conservancy—Official Central Park Tours,"14 E. 60th St., 8th fl. New York, NY 10022, Upper East Side",10022,-73.9717568,40.7643025,"14 e 60th st #8th, new york, ny 10021, usa"
Charles A. Dana Discovery Center/Harlem Meer,"106th to 110th Sts on the east side of the park Manhattan, NY 10029, Central Park",10029,-73.9665138,40.7812199,"central park, new york, ny, usa"
Chelsea Craft Brewing Company,"463 East 173rd Street NY 10457, The Bronx",10457,-73.9011773,40.8417785,"463 e 173rd st, the bronx, ny 10457, usa"
Chrysler Building,"405 Lexington Ave Manhattan, NY, Midtown East",10174,-73.9755995,40.7517105,"405 lexington ave, new york, ny 10174, usa"
Circle Line Downtown,"Pier 16 at S. St. Seaport Manhattan, NY 10038, Lower Manhattan",10038,-74.0030858,40.7057091,"167 john st, new york, ny 10038, usa"
Circle Line Sightseeing Cruises,"Pier 83, 42nd St. and Twelfth Ave. Manhattan, NY 10036, Hells Kitchen",10036,-74.0014928,40.7626847,"w 42nd st &, 12th ave, new york, ny 10036, usa"
City Hall,"City Hall  Broadway and Murray St. Manhattan, NY 10007, Lower Manhattan",10007,-74.0067101,40.7135245,"city hall station, new york, ny 10007, usa"
City Hall Park,"Broadway and Chambers St Manhattan, NY 10007, Lower Manhattan",10007,-74.0063069,40.7141829,"broadway & chambers st, new york, ny 10007, usa"
Classic Harbor Line LLC,"Chelsea Piers, Pier 62 (22nd St. & Hudson River) Manhattan, NY 10011, Chelsea",10011,-74.0086142,40.7481792,"62 chelsea piers, new york, ny 10011, usa"
Clove Lakes Park,"1150 Clove Rd. Staten Island, NY, Randall Manor",10301,-74.108167,40.6176972,"1150 clove rd, staten island, ny 10301, usa"
Coney Island Brewing Company,"1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,-73.9844262,40.57475,"1904 surf ave, brooklyn, ny 11224, usa"
Coney Island Circus Sideshow,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,-73.9888676,40.5742968,"surf ave, brooklyn, ny 11224, usa"
Delacorte Theate,"Mid-park at 80th St Manhattan, NY 10024, Central Park",10024,-73.9565567,40.7746939,"204 e 80th st, new york, ny 10075, usa"
Douglaston Golf Course,"6320 Marathon Pkwy Queens, NY 11363, Bayside",11363,-73.7316042,40.7524457,"6320 marathon pkwy, queens, ny 11363, usa"
Duffy Square,"46th and Broadway  47th and 7th Avenue New York, NY, Times Square/Theatre District",10036,-73.9831387,40.7632484,"1681 broadway, new york, ny 10019, usa"
Ellis Island,"New York Harbor Manhattan, NY 10004, Lower Manhattan",10004,-74.0138541,40.7038704,"bowling green, ny 10004, usa"
Ellis Island National Museum of Immigration,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,-74.0158441,40.7115786,"battery park city, new york, ny, usa"
Ellis Island/American Family Immigration History Center,"Ellis Island, New York Harbor Manhattan, NY 10004, Battery Park City",10004,-74.0158441,40.7115786,"battery park city, new york, ny, usa"
Empire State Building Experience,"350 Fifth Ave. Manhattan, NY 10118, Herald Square",10118,-73.9851073,40.7482436,"350 5th ave, new york, ny 10118, usa"
FDNY Fire Zone,"34 W. 51st St. Manhattan, NY 10020, Midtown West",10020,-73.9785723,40.7597362,"34 w 51st st, new york, ny 10020, usa"
Flatiron Building,"175 5th Ave Manhattan, NY, Flatiron District",10010,-73.9896538,40.7410065,"flatiron building, 175 5th ave, new york, ny 10010, usa"
Flushing Meadows Corona Park,"111th Street to Van Wyck Expressway Queens, NY 11375, Flushing",11375,-73.855334,40.75173,"111 st, queens, ny 11368, usa"
Fort Tryon Park,"Between Riverside Drive, Broadway, Dyckman Street and West 192nd Street New York, NY 10040, Washington Heights/Inwood",10040,-73.9296319,40.8566364,"w 192nd st, new york, ny 10040, usa"
Governors Island,"Governors Island New York, NY 10004, Governors Island",10004,-74.016792,40.6894501,"governors island, new york, ny 11231, usa"
Gramercy Park,"E 20th St to E 21st St bet Gramercy Park West and Gramercy Park East Manhattan, NY 10010, Gramercy",10010,-73.9712488,40.7830603,"manhattan, new york, ny, usa"
Grand Army Plaza,"Fifth Avenue and W 59th Street Manhattan, NY, Midtown East",10019,-73.96727,40.7603287,"m & b building, e 57th st, new york, ny 10155, usa"
Grand Army Plaza Memorial Arch,"Grand Army Plaza at Eastern Parkway Brooklyn, NY 11238, Prospect Heights",11238,-73.9694272,40.6730861,"eastern pkwy & grand army plaza, brooklyn, ny 11238, usa"
Grand Central Terminal,"15 Vanderbilt Ave., Hall 2A Manhattan, NY 10017, Midtown East",10017,-73.9777917,40.7526402,"15 vanderbilt ave #2a, new york, ny 10017, usa"
Green-Wood Cemetery,"500 25th St. Brooklyn, NY 11232, Sunset Park",11232,-73.9961594,40.6590968,"500 25th st, brooklyn, ny 11232, usa"
Greenbelt Nature Center,"700 Rockland Ave Staten Island, NY 10314, New Dorp",10314,-74.1390896,40.5883639,"700 rockland ave, staten island, ny 10306, usa"
Gulliver's Gate,"216 W. 44th St. Manhattan, NY 10036 Times Square/Theatre District",10036,-73.9869946,40.7575842,"216 w 44th st, new york, ny 10036, usa"
Hell Gate Bridge,"Hell gate bridge Manhattan, NY, South Bronx",11105,-73.9219127,40.7825959,"hell gate bridge, new york, ny 11105, usa"
Hershey's Chocolate World Times Square,"1593 Broadway Manhattan, NY 10019, Times Square/Theatre District",10019,-73.9849521,40.7603036,"1593 broadway, new york, ny 10019, usa"
Historic Richmond Town,"441 Clarke Ave. Staten Island, NY 10306 Richmond Town",10306,-74.1456038,40.5709205,"441 clarke ave, staten island, ny 10306, usa"
Holographic Studios,"240 E. 26th St. New York, NY 10010, Chelsea",10010,-73.9801503,40.7398482,"240 e 26th st, new york, ny 10010, usa"
Hunters Point Community Library,"47 Center Blvd. Queens, NY 11101",11101,-73.9590716,40.743801,"47 center blvd, queens, ny 11101, usa"
"Intrepid Sea, Air & Space Museum","Pier 86, Twelfth Ave. at 46th St. Manhattan, NY 10036, Hells Kitchen",10036,-73.9990816,40.7645917,"new york, ny 10036, usa"
Irish Hunger Memorial,"290 Vesey St Manhattan, NY 10281, Battery Park City",10281,-74.0171889,40.7150959,"290 vesey st, new york, ny 10282, usa"
Jacqueline Kennedy Onassis Reservoir,"Bet 86th and 96th Sts Manhattan, NY 10024, Central Park",10024,-73.9665138,40.7812199,"central park, new york, ny, usa"
James A. Farley Post Office,"421 Eighth Ave. Manhattan, NY 10001, Chelsea",10001,-73.9963224,40.7515125,"421 8th ave, new york, ny 10199, usa"
Jane's Carousel,"Dock Street Brooklyn, NY 11201, DUMBO",11201,-73.9925645,40.7033266,"dock st, brooklyn, ny 11201, usa"
Jazz at Lincoln Center,"Frederick P. Rose Hall, Broadway at 60th St. Manhattan, NY 10019, Upper West Side",10019,-73.982525,40.7687363,"broadway &, w 60th st, new york, ny 10019, usa"
Jeffrey's Hook Lighthouse,"Fort Washington Park Manhattan , NY 10033, Washington Heights/Inwood",10033,-73.9452115,40.8506713,"fort washington park, hudson river greenway, new york, ny 10032, usa"
Loeb Central Park Boathouse,"Central Park, enter at Fifth Ave. & 72nd St. Manhattan, NY 10028, Central Park",10028,-73.9665138,40.7812199,"central park, new york, ny, usa"
Luna Park at Coney Island,"1000 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,-73.9785149,40.5752568,"1000 surf ave, brooklyn, ny 11224, usa"
Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10001, Herald Square",10001,-73.9890634,40.7508631,"151 w 34th st., new york, ny 10001, usa"
Madison Square Garden,"2 Penn Plaza Manhattan, NY 10121, Midtown West",10121,-73.9914027,40.7494331,"2 pennsylvania plaza, new york, ny 10121, usa"
Mahayana Buddhist Temple,"133 Canal St Manhattan, NY 10002, Chinatown",10002,-73.9953365,40.7162972,"133 canal st, new york, ny 10002, usa"
McCarren Park,"Lorimer St. between Bayard St. and Driggs Ave. Brooklyn, NY, Williamsburg",11222,-73.9493118,40.7142374,"lorimer st, brooklyn, ny 11211, usa"
Museum at Eldridge Street Synagogue,"12 Eldridge St. Manhattan, NY 10002, Lower East Side",10002,-73.9934249,40.7146872,"12 eldridge st, new york, ny 10002, usa"
Museum Mile,"Fifth Avenue Manhattan, NY, Upper East Side",10128,-73.964692,40.7756891,"5th ave, new york, ny, usa"
Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,-74.009099,40.7064573,"48 wall st, new york, ny 10043, usa"
Mystery Room NYC,"365 Seventh Ave., fl. 2N Manhattan, NY 10001, Chelsea",10001,-73.992077,40.7486107,"365 7th ave #2n, new york, ny 10001, usa"
National Geographic Encounter: Ocean Odyssey,"226 W. 44th St. Manhattan, NY 10036., Times Square/Theatre District",10036,-73.9872302,40.7577198,"226 w 44th st, new york, ny 10036, usa"
National Parks of New York Harbor,"Federal Hall National Memorial, 26 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,-74.0102088,40.7073993,"26 wall st, new york, ny 10005, usa"
New York Botanical Garden,"2900 Southern Blvd. Bronx, NY 10458, Bedford Park",10458,-73.8809266,40.8616519,"2900 southern blvd, the bronx, ny 10458, usa"
New York City FC,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,-73.9261745,40.8296426,"1 e 161 st, the bronx, ny 10451, usa"
New York Hall of Science,"47-01 111th St. Queens, NY 11368, Corona",11368,-73.8516925,40.7472583,"47-01 111th st, corona, ny 11368, usa"
New York Knicks,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,-73.9918181,40.7637581,"hell's kitchen, new york, ny, usa"
"New York Public Library, Stephen A. Schwarzman Building","Fifth Ave. & 42nd St. Manhattan, NY 10018, Midtown West",10018,-73.9656177,40.7744146,"5th ave, new york, ny, usa"
New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,-73.9918181,40.7637581,"hell's kitchen, new york, ny, usa"
New York Transit Museum,"99 Schermerhorn St. Brooklyn, NY 11201, Brooklyn Heights",11201,-73.9900678,40.69057,"99 schermerhorn st, brooklyn, ny 11201, usa"
New York Wheel,"7 Penn Plaza, ste. 1705 New York, NY 10001, Staten Island",10001,-73.9924742,40.748882,"7 pennsylvania plaza #1705, new york, ny 10001, usa"
New York Yankees,"Yankee Stadium, 1 E. 161st St. Bronx, NY 10451, South Bronx",10451,-73.9261745,40.8296426,"1 e 161 st, the bronx, ny 10451, usa"
Official NYC Information Center at Macy's Herald Square,"151 W. 34th St. Manhattan, NY 10011, Midtown West",10011,-73.9890634,40.7508631,"151 w 34th st., new york, ny 10001, usa"
Old Stone House,"336 3rd St. Brooklyn, NY 11215, Park Slope",11215,-73.9845869,40.6730021,"336 3rd st, brooklyn, ny 11215, usa"
One World Observatory,"One World Trade Center, 285 Fulton St. 45 fl. ste. F Manhattan, NY 10007, Lower Manhattan",10007,-74.0131689,40.7130082,"one world trade center, 285 fulton st 45 f, new york, ny 10006, usa"
Parachute Jump,"Boardwalk W. (bet. W. 16th and W. 19th Sts.) Brooklyn, NY 11224, Coney Island",11224,-73.9864304,40.578853,"w 19th st, brooklyn, ny 11224, usa"
Paradise Theater,"2403 Grand Concourse Bronx, NY 10468, Fordham",10468,-73.8987055,40.8603366,"2403 grand concourse, the bronx, ny 10468, usa"
Pepsi-Cola Sign,"30-99 48th AvenueNew York, NY 11101, Long Island City",11101,-73.9577937,40.747452,"30-99 48th ave, long island city, ny 11101, usa"
Plymouth Church of the Pilgrims,"75 Hicks St Brooklyn, NY 11201, Brooklyn Heights",11201,-73.9937004,40.6993529,"75 hicks st, brooklyn, ny 11201, usa"
Poe Park,"Grand Concourse and East 192nd Street Bronx, NY 10458, Fordham",10458,-73.8957293,40.8642051,"grand concourse & e 192nd st, the bronx, ny 10458, usa"
Prospect Park,"95 Prospect Park West Brooklyn , NY 11215, Park Slope",11215,-73.9736823,40.6669904,"95 prospect park west, brooklyn, ny 11215, usa"
Prospect Park Audubon Center,"Prospect Park Brooklyn, NY 11225, Park Slope",11225,-73.9689558,40.6602037,"prospect park, brooklyn, ny, usa"
Prospect Park Carousel,"Enter the park at Willink entrance (intersection of Empire, Ocean and Flatbush Aves.) Brooklyn, NY 11210, Park Slope",11210,-73.9741694,40.6795299,"flatbush ave, brooklyn, ny, usa"
Prospect Park Lake,"Parkside and Ocean Avenues entrance Brooklyn, NY 11218, Park Slope",11218,-73.96196,40.654903,"ocean ave & parkside ave, brooklyn, ny 11218, usa"
Prospect Park Litchfield Villa,"95 Prospect Park West Brooklyn, NY 11215, Park Slope",11215,-73.9736823,40.6669904,"95 prospect park west, brooklyn, ny 11215, usa"
Prospect Park Zoo,"450 Flatbush Ave. Brooklyn, NY 11225, Crown Heights",11225,-73.9653872,40.6657963,"450 flatbush ave, brooklyn, ny 11238, usa"
Queens Museum,"New York City Building, Flushing Meadows Corona Park Queens, NY 11368, Flushing",11368,-73.8406953,40.7400275,"flushing meadows corona park, between grand central pkwy and, van wyck expy, queens, ny 11354, usa"
Queens Zoo,"53-51 111th St. Queens, NY 11368, Flushing",11368,-73.8499471,40.7436682,"53-51 111th st, queens, ny 11368, usa"
Queensboro Bridge,"Ed Koch Queensboro Bridge, New York, NY 10044",10044,-73.9542239,40.7567316,"ed koch queensboro bridge, ed koch queensboro bridge, new york, ny 10044, usa"
Radio City Music Hall,"1260 Sixth Ave. Manhattan, NY 10020, Midtown West",10020,-73.9800542,40.7599893,"showplace of the nation, 1260 6th ave, new york, ny 10020, usa"
Resorts World Casino New York City,"110-00 Rockaway Blvd. Queens, NY 11420, Jamaica",11420,-73.8326763,40.6737403,"110-00 rockaway blvd, queens, ny 11420, usa"
Ripley's Believe It or Not! Times Square,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,-73.9887914,40.7566328,"234 w 42nd st, new york, ny 10036, usa"
Riverside Park,"Riverside Drive to Hudson River 72nd St. to St Clair Pl. New York, NY 10115, Upper West Side",10115,-73.9606975,40.8175334,"st clair pl, new york, ny 10027, usa"
Rockefeller Center,"45 Rockefeller Plaza Manhattan, NY 10111, Midtown West",10111,-73.9786736,40.7587402,"45 rockefeller plaza, new york, ny 10111, usa"
Roosevelt Island,"591 Main St. Roosevelt Island, NY 10044, Roosevelt Island",10044,-73.9491716,40.7632933,"591 main st, new york, ny 10044, usa"
Roundabout Theatre Company,"231 W. 39th St., ste. 1200 New York, NY 10018, Midtown West",10018,-73.9896215,40.7548855,"231 w 39th st #1200, new york, ny 10018, usa"
Sail the Park,"Kerbs Memorial Boathouse in Central Park (off Fifth Ave. btw. 72nd–76th Sts.) Manhattan, NY 10021, Central Park",10021,-73.9687693,40.7752927,"park drive north, e 72nd st, new york, ny 10021, usa"
Schomburg Center for Research in Black Culture,"515 Malcolm X Blvd. Manhattan, NY 10037, Harlem",10037,-73.9406262,40.8141662,"515 malcolm x blvd, new york, ny 10037, usa"
SeaGlass Carousel,"The Battery Manhattan, NY 10004, Lower Manhattan",10004,-74.0153603,40.7029312,"the battery, new york, ny 10004, usa"
Seaport District NYC,"Pier 17, Fulton and Front Streets Manhattan, NY 10038, Lower Manhattan",10038,-74.0014567,40.705573,"89 south st, new york, ny 10038, usa"
"Sheep Meadow, Central Park","1802 65th St Transverse, New York, NY 10065",10065,-73.9703357,40.7680543,"1802 e 65th st, new york, ny 10065, usa"
Sleep No More,"530 W. 27th St. Manhattan, NY 10001, Chelsea",10001,-74.0038776,40.7505942,"530 w 27th st, new york, ny 10001, usa"
Solomon R. Guggenheim Museum,"1071 Fifth Ave. Manhattan, NY 10128, Upper East Side",10128,-73.9588052,40.7831815,"1071 5th ave, new york, ny 10128, usa"
South Street Seaport Museum,"Pier 16, South Street Seaport, South St. at the foot of John St.; office: 12 Fulton St. Manhattan, NY 10038, Lower Manhattan",10038,-74.0037097,40.7065616,"12 fulton st, new york, ny 10038, usa"
Spirit of New York,"Pier 61, Chelsea Piers at W. 23rd St. & 12th Avenue Manhattan, NY 10011, Chelsea",10011,-74.0083691,40.747355,"111c 11th ave, new york, ny 10011, usa"
St. Patrick's Cathedral,"Fifth Ave. btw. 50th-51st Sts. Manhattan, NY 10126, Midtown East",10126,-73.9656177,40.7744146,"5th ave, new york, ny, usa"
St. Patrick’s Old Cathedra,"263 Mulberry St Manhattan, NY 10012, Nolita",10012,-73.9956516,40.7238274,"263 mulberry st, new york, ny 10012, usa"
St. Paul's Chapel,"209 Broadway Manhattan, NY 10007, Lower Manhattan",10007,-74.0091777,40.711326,"209 broadway, new york, ny 10007, usa"
Staten Island Borough Hall,"10 Richmond Terrace Staten Island, NY 10301, St. George",10301,-74.0761249,40.6424311,"10 richmond terrace, staten island, ny 10301, usa"
Staten Island Ferry,"St. George Terminal, 1 Bay St. Staten Island, NY 10301, St. George",10301,-74.0725489,40.6440982,"st. george ferry terminal, 1 bay st, staten island, ny 10301, usa"
