Tourist_Spot,Address,Zipcode,lon,lat,geoAddress
Friedsam Memorial Carousel,"Mid-park at 64th St Manhattan, NY 10023, Central Park",10023,-73.9689112,40.7621118,"130 e 59th st, new york, ny 10022, usa"
Japan Society,"333 E. 47th St. Manhattan, NY 10017, Midtown East",10017,-73.9682642,40.7525025,"333 e 47th st, new york, ny 10017, usa"
FDNY Fire Zone Rockefeller Center ,"34 West 51st Street New York, NY 10020, Midtown West",10020,-73.9785723,40.7597362,"34 w 51st st, new york, ny 10020, usa"
TimeLooper`,"mail: 40 Harrison St., 3K New York, NY 10013",10013,-74.0108824,40.7190855,"40 harrison st #3k, new york, ny 10013, usa"
"On Location Tours, Inc.","Meeting Sites in Midtown Manhattan; mail: 555 Eighth Ave., ste. 2003 Manhattan, NY 10018, Times Square/Theatre District",10018,-73.9920902,40.7546921,"555 8th ave #2003, new york, ny 10018, usa"
Snug Harbor Cultural Center & Botanical Garden,"1000 Richmond Terr. Staten Island, NY 10301",10301,-74.1027528,40.6445604,"1000 richmond terrace, staten island, ny 10301, usa"
Voilà Chocolat,"221 W. 79th St. Manhattan, NY 10024, Upper West Side",10024,-73.9792168,40.7837141,"221 w 79th st, new york, ny 10024, usa"
Central Park Zoo,"830 Fifth Ave. (southeast corner of Central Park) Manhattan, NY 10021, Central Park",10021,-73.9712717,40.7676538,"830 5th ave, new york, ny 10029, usa"
Asser Levy/Seaside Park,"W 5th St Brooklyn, NY 11224, Coney Island",11224,-73.9718645,40.5797412,"w 5th st, brooklyn, ny 11224, usa"
Woolworth Building,"233 Broadway New York, NY 10007, Lower Manhattan",10007,-74.0079181,40.7120868,"233 broadway, new york, ny 10279, usa"
Brookfield Place,"230 Vesey St. Manhattan, NY 10281, Battery Park City",10281,-74.0153339,40.7140744,"230 vesey st, new york, ny 10080, usa"
New York Mets,"Citi Field, 126th St. and Roosevelt Ave. Queens, NY 11368, Flushing",11368,-73.8458213,40.7570877,"41 seaver wy, queens, ny 11368, usa"
Onassis Cultural Center New York,"645 Fifth Ave. (enter on 51st St.) Manhattan, NY 10022, Midtown East",10022,-73.9757835,40.7594343,"645 5th ave, new york, ny 10022, usa"
Official NYC Information Center–South Street Seaport,"Hornblower Cruises on the East River Waterfront Esplanade at Pier 15 Manhattan, NY 10038, Lower Manhattan",10038,-74.0029654,40.7043756,"78 south st, new york, ny 10006, usa"
Fort Wadsworth,"210 New York Ave. Staten Island, NY 10305, Staten Island",10305,-74.0586988,40.6033731,"210 new york ave, staten island, ny 10305, usa"
Deno's Wonder Wheel Amusement Park,"3059 Denos Vourderis Place (W 12th St) Brooklyn, NY 11224, Coney Island",11224,-73.9793486,40.5738331,"3059 denos d. vourderis pl, brooklyn, ny 11224, usa"
Bethesda Terrace/Fountain,"Mid-park at 72nd St. New York, NY, Central Park",10021,-73.9665138,40.7812199,"central park, new york, ny, usa"
George Washington Bridge,"George Washington Bridge Manhattan, NY, Washington Heights/Inwood",7024,-73.9444624,40.8500052,"george washington bridge, new york, ny, usa"
The Public Theate,"425 Lafayette St. Manhattan, NY 10003, East Village",10003,-73.9917498,40.7290199,"425 lafayette st, new york, ny 10003, usa"
Washington Street between Front and Water Streets,"Brooklyn, NY 11205, DUMBO",11205,-73.9565551,40.6945036,"brooklyn, ny 11205, usa"
Brooklyn Bridge Park,"334 Furman St. Brooklyn, NY 11201, DUMBO",11201,-73.9992819,40.6942006,"334 furman st, brooklyn, ny 11201, usa"
Tompkins Square Park,"E 10th St, New York, NY 10009",10009,-73.9777153,40.7259466,"e 10th st, new york, ny 10009, usa"
Lincoln Center for the Performing Arts,"70 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,-73.9842563,40.7741882,"70 lincoln center plaza, new york, ny 10023, usa"
National Park Service,"c/o Statue of Liberty National Monument New York, NY 10004, Battery Park City",10004,-74.0445004,40.6892494,"statue of liberty, new york, ny 10004, usa"
Belvedere Castle,"Central Park, midpark at 79th St Manhattan, NY, Central Park",10021,-73.9665138,40.7812199,"central park, new york, ny, usa"
Sunset Park,"Bet. Fifth and Seventh Aves. and 41st and 44th Sts. Brooklyn, NY 11220, Sunset Park",11220,-74.0046943,40.6471955,"44th st, brooklyn, ny 11220, usa"
Official NYC Information Center (Times Square),"Broadway Plaza, between 43rd and 44th Streets New York, NY 10036, Times Square/Theatre District",10036,-73.987061,40.7558611,"times sq - 42 st, new york, ny 10018, usa"
Morris-Jumel Mansion,"65 Jumel Terr. Manhattan, NY 10032, Washington Heights/Inwood",10032,-73.9385998,40.834435,"65 jumel terrace, new york, ny 10032, usa"
Conservatory Water,"72nd to 75th Sts Manhattan, NY 10021 Central Park",10021,-73.9665138,40.7812199,"central park, new york, ny, usa"
Madame Tussauds New York,"234 W. 42nd St. Manhattan, NY 10036, Times Square/Theatre District",10036,-73.9887914,40.7566328,"234 w 42nd st, new york, ny 10036, usa"
Whitney Museum of American Art,"99 Gansevoort St. Manhattan, NY 10014, Meatpacking District",10014,-74.0091027,40.739597,"99 gansevoort st, new york, ny 10014, usa"
Coney Island History Project,"Deno's Wonder Wheel Amusement Park, 3059 W. 12th St. Brooklyn, NY 11224, Coney Island",11224,-73.9791552,40.5733309,"3059 w 12th st, brooklyn, ny 11224, usa"
United Palace Theatre,"4140 Broadway Manhattan, NY 10033, Washington Heights/Inwood",10033,-73.9379109,40.8465512,"4140 broadway, new york, ny 10033, usa"
Central Park,"Between Fifth Ave. and Central Park West Manhattan, NY 10024, Central Park",10024,-73.9712488,40.7830603,"manhattan, new york, ny, usa"
Bank of America Winter Village at Bryant Park,"Bryant Park, 42nd St. and 6th Ave. Manhattan, NY 10018, Midtown West",10018,-73.9832326,40.7535965,"bryant park, new york, ny 10018, usa"
New York City Ballet,"David H. Koch Theater, 20 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,-73.9836184,40.7718737,"20 lincoln center plaza, new york, ny 10023, usa"
Museum of Sex,"233 Fifth Ave. Manhattan, NY 10016, NoMad",10016,-73.9872499,40.743986,"233 5th ave, new york, ny 10016, usa"
Coney Island,"Surf Avenue Brooklyn, NY 11224, Coney Island",11224,-73.9888676,40.5742968,"surf ave, brooklyn, ny 11224, usa"
Unbreakable Kimmy Schmidt Apartment,"74 Freeman St. Brooklyn, NY 11222, Greenpoint",11222,-73.9589703,40.73395,"74 freeman st, brooklyn, ny 11222, usa"
Bryant Park,"Sixth Ave. between 40th and 42nd Sts. Manhattan, NY Midtown West",10018,-73.9907177,40.7576192,"w 42nd st, new york, ny, usa"
New York Rangers,"Madison Square Garden, Seventh Ave. betw. 31st and 33rd Sts. Manhattan, NY 10001, Midtown West",10001,-73.9918181,40.7637581,"hell's kitchen, new york, ny, usa"
Citi Field,"126th St. and Roosevelt Ave. Flushing, NY 11368, Flushing",11368,-73.8538247,40.752169,"roosevelt ave, corona, ny 11368, usa"
Queens Botanical Garden,"43-50 Main St. Queens, NY 11355, Flushing",11355,-73.8307238,40.7494767,"visitors & administration building, 43-50 main st, queens, ny 11355, usa"
Prospect Park Bandshell,"Prospect Park West Brooklyn, NY 11217, Park Slope",11217,-73.9768545,40.6646483,"prospect park west, brooklyn, ny 11215, usa"
Prospect Park Concert Grove,"Parkside and Ocean Avenues entrance Brooklyn, NY 11225, Park Slope",11225,-73.96196,40.654903,"ocean ave & parkside ave, brooklyn, ny 11218, usa"
The Mall and Literary Walk,"Mid-park bet 66th and 72nd Sts Manhattan, NY 10022, Central Park",10022,-73.9665138,40.7812199,"central park, new york, ny, usa"
IFC Center,"323 Sixth Ave. New York, NY 10014, West Village",10014,-74.0015969,40.7312154,"323 6th ave, new york, ny 10014, usa"
Brooklyn Borough Hall,"209 Joralemon St Brooklyn, NY 11209, Downtown Brooklyn",11209,-73.990303,40.6928442,"209 joralemon st, brooklyn, ny 11201, usa"
New York Aquarium,"602 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,-73.9748532,40.5743017,"602 surf ave, brooklyn, ny 11224, usa"
Yankee Stadium,"1 E. 161st St. Bronx, NY 10451, South Bronx",10451,-73.9278437,40.8292979,"1 e 161 st, the bronx, ny 10451, usa"
High Bridge,"Amsterdam Avenue and West 172nd Street Manhattan, NY 10032, Washington Heights/Inwood",10032,-73.9361602,40.8443211,"554 w 174th st, new york, ny 10033, usa"
One World Trade Center,"1 World Trade Center Manhattan, NY 10007, Lower Manhattan",10007,-74.0133825,40.7127459,"1 world trade center, new york, ny 10007, usa"
9/11 Memorial Museum Store,"20 Vesey St. Manhattan, NY 10007, Lower Manhattan",10007,-74.0094963,40.7120278,"20 vesey st, new york, ny 10007, usa"
Madison Square Park,"23rd to 26th Sts. (bet. Fifth and Madison Aves.) Manhattan, NY 10010, Flatiron District",10010,-73.9896986,40.7410605,"175 5th ave, new york, ny 10010, usa"
New York Philharmonic,"David Geffen Hall (formerly Avery Fisher), 10 Lincoln Center Plaza Manhattan, NY 10023, Upper West Side",10023,-73.9831009,40.7728691,"10 lincoln center plaza, new york, ny 10023, usa"
Gracie Mansion,"East End Ave Manhattan, NY 10128, Upper East Side",10128,-73.9438861,40.7761816,"east end ave, new york, ny 10128, usa"
Trinity Wall Street,"Broadway at Wall St. Manhattan, NY 10006, Lower Manhattan",10006,-74.0117202,40.7077443,"broadway & wall st, new york, ny 10006, usa"
Brooklyn Cyclones,"MCU Park, 1904 Surf Ave. Brooklyn, NY 11224, Coney Island",11224,-73.9844176,40.5746915,"1904 surf ave, brooklyn, ny 11224, usa"
Bronx Zoo Treetop Adventure,"Bronx, NY 10460, Fordham",10460,-73.8801301,40.841618,"the bronx, ny 10460, usa"
West 4th Street Courts,"Sixth Ave. Manhattan, NY 10011, Greenwich Village",10011,-73.9963308,40.7380509,"6th ave, new york, ny 10011, usa"
Staten Island Yankees,"Richmond County Bank Ballpark, 75 Richmond Terr. Staten Island, NY 10301, St. George",10301,-74.0771935,40.6455625,"75 richmond terrace, staten island, ny 10301, usa"
Manhattan by Sail,"Locations: N. Cove Marina, Brookfield Place (Liberty St.–Hudson River), Manhattan 10007; ",10007,-74.0152824,40.7127168,"230 vesey st, new york, ny 10281, usa"
Manhattan by Sail,"inside Battery Park at the Hudson River (enter across from 17 State St.) Manhattan, NY 10004, Battery Park City",10004,-74.0138771,40.7028885,"17 state st, new york, ny 10004, usa"
Museum of American Finance,"48 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,-74.009099,40.7064573,"48 wall st, new york, ny 10043, usa"
New York Stock Exchange,"11 Wall St. Manhattan, NY 10005, Lower Manhattan",10005,-74.0112706,40.7069003,"11 wall st, new york, ny 10005, usa"
Hook & Ladder Company 8,"14 N. Moore St. Manhattan, NY 10013, Tribeca",10013,-74.0066124,40.7195656,"14 n moore st, new york, ny 10013, usa"
Grand Masonic Lodge of New York,"71 W. 23rd St. Manhattan, NY 10010, Chelsea",10010,-73.9922843,40.7429529,"71 w 23rd st, new york, ny 10010, usa"
